prolific_pid,goal_condition,base_rate,raw_response,trial_id,decision_structure,strategy,response_lowercase,chose_contaminated,chose_uncontaminated,base_rate_num,base_rate_c
66cb416f427974865365523d,cont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""Well I have very limited options. At the end of the day I just need to test a contaminated one, so that's what I need to find.""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
69ed3990ebc0dc44c65742b0,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I decided to ask a simple question which seemed useful at the time.""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
5dd61f689740545c506ee244,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I was conflicted whether to ask if it was or wasn't, but she knows for sure a few that are, and either way she'd be letting  me know the status of the vial.""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
56ca3e3237d66c000c59a891,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I thought I would ask a direct question ""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
6a053b19f37bc26be014daff,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""If they know for sure that the vial was contaminated, we can single it out.""}",contaminated,TRUE,FALSE,0.5,0
5ddc07391e42a9000b2622be,cont,0.8,confirmed contaminated,exp1_trial1,singleton,"{""strategy"":""The testers are sure about some, but not others. I want to be sure what is confirmed. ""}",confirmed contaminated,TRUE,FALSE,0.8,0.30000000000000004
6a0de39301240dceb077eb7e,uncont,0.5,Contaminated,exp1_trial1,singleton,"{""strategy"":""It is the most direct question to get an answer that will tell me what I need to know""}",contaminated,TRUE,FALSE,0.5,0
612d65fb9c0182abbcf41c32,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I just wanted to ask my colleuge directly if he/she knew for sure if this vial was contaminated""}",contaminated,TRUE,FALSE,0.5,0
694d98face021af3555a235e,uncont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I asked the most clear question on what I need to know.""}",contaminated,TRUE,FALSE,0.2,-0.3
5ede66237578b70c1548f73e,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""well the goal was to identify a contaminated vial so i just was being direct. ""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
69aaf2a0d6562246442ee009,cont,0.2,good,exp1_trial1,singleton,"{""strategy"":""I kinda does not know""}",good,FALSE,TRUE,0.2,-0.3
54f4e2d1fdf99b4e913fdf01,uncont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""Because my colleague knows about some of the vials and whether they are contaminated, so I'm hoping he knows if this one is. ""}",contaminated,TRUE,FALSE,0.2,-0.3
59d6677d416c900001ea58f3,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""If it is contaminated I would assume adjacent vials would be also""}",contaminated,TRUE,FALSE,0.5,0
69ef8360bf6109383fa18718,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""Finding out the known contaminant the and focus on testiung for thr unknown.""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
6a04584fa7960eb9b635e479,uncont,0.2,uncontaminated?,exp1_trial1,singleton,"{""strategy"":""Since I am trying to run a test on an uncontaminated vile, I asked \""is this vial uncontaminated?\""""}",uncontaminated?,FALSE,TRUE,0.2,-0.3
6a0ae209d6d00a05385e3653,uncont,0.8,Contaminated,exp1_trial1,singleton,"{""strategy"":""Colleague saw vials be contaminated so would know if it was or not ""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
5fff22320c4ee464f7e6c044,uncont,0.8,Contaminated,exp1_trial1,singleton,"{""strategy"":""If the vial is contaminated, I won't use it""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
69e286d5f563dc04d7ab2bfb,uncont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""based on the previous images and likelyhood""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
63f87480149da1634d6c4464,cont,0.2,Definitely contaminated,exp1_trial1,singleton,"{""strategy"":""If the colleague knows some of the vials, it is best to find out if he knows this one specifically is contaminated""}",definitely contaminated,TRUE,FALSE,0.2,-0.3
6a05ddfc4e1e07322a8f4e2a,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I wanted to ask whether this vial is contaminated, as the colleague knows some which are and some which aren't""}",contaminated,TRUE,FALSE,0.5,0
66d63bf354de4c20d9369e20,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I think if I know if that vial is contaminated, maybe I can run some tests to see what it's contaminated with.""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
671a528fe9658f0a32bd55ce,cont,0.2,contaminated,exp1_trial1,singleton,"{""strategy"":""I needed to know whether a vial was contaminated or not, so I thought it would be best to ask if that certain one was.""}",contaminated,TRUE,FALSE,0.2,-0.3
66d85bb4804d941d0fdc41bb,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""I completed my question asking if the vial is contaminated. Since I will be asking that question to my colleague and they know the status of some of the vials but not all so we can do the process of elimination to find out which ones arent.""}",contaminated,TRUE,FALSE,0.5,0
6a071bf097b9fe8b290d8eac,uncont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""i know that half of the mare contaminated and the coworker only saw some, so if my goal is to test an uncontaminated one, i will just ask that directly, if they say yes, then im done, if they say no, then my chances of the next one being uncontaminated go up ""}",contaminated,TRUE,FALSE,0.5,0
6a0924472762614d317d2228,cont,0.8,contaminated?,exp1_trial1,singleton,"{""strategy"":""I felt that it was the only appropriate question in this scenario ""}",contaminated?,TRUE,FALSE,0.8,0.30000000000000004
695f9c933b79d5a5ea3a1d4e,cont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I just thought it was the simplest question to ask. They would either say yes, no, or I don't know. ""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
69de40e41a3a029ceedebb14,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""just seemed the most logical""}",contaminated,TRUE,FALSE,0.5,0
66a153fec1af78d301b46f0f,uncont,0.8,Uncontaminated,exp1_trial1,singleton,"{""strategy"":""I don't remember but wording if it was or not would give more info""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
5e230311699ac45b327786dc,uncont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I really do not understand what you're driving at. All the colleague can do is confirm their own understanding of the situation. You work together, so should be no lying. So you ask. They tell the truth. ""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
6a0e19696e2fe15de871efca,cont,0.2,One that could have been contaminated,exp1_trial1,singleton,"{""strategy"":""By asking a simple question, could this have been one that did get contaminated ""}",one that could have been contaminated,TRUE,FALSE,0.2,-0.3
5f2af36061a10a452cd8dc4e,uncont,0.8,contaminated,exp1_trial1,singleton,"{""strategy"":""I think it is quite simply the only question i can ask, there's no way of knowing other than them seeing certain ones i just need to work it out""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
6a05d14146b2ebb11aa2e44e,uncont,0.8,Contaminated,exp1_trial1,singleton,"{""strategy"":""Well most are contaminated rather than contaminated and he knows some so I asked if the vial in question was contaminated.""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
6762a1453b3bc252b8ea3bb8,cont,0.5,contaminated,exp1_trial1,singleton,"{""strategy"":""it was the obvious question to get the most straight forward answer""}",contaminated,TRUE,FALSE,0.5,0
5ca216d52a83ec00175c4eaf,cont,0.8,uncontaminated,exp1_trial1,singleton,"{""strategy"":""I asked if it was uncontaminated as there are only 2 that are uncontaminated and if I found these 2 then I would know that the remaining 8 were the ones contaminated""}",uncontaminated,FALSE,TRUE,0.8,0.30000000000000004
6a0ef8bc3e451644e72f0d43,uncont,0.8,Contaminated,exp1_trial1,singleton,"{""strategy"":""Throughout the survey, the word contaminated was regularly used. I believe that its an important and useful thing to do if you keep your language clear, concise and consistent.""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
677d87faabcf1e93c8c18c5e,cont,0.8,Contaminated,exp1_trial1,singleton,"{""strategy"":""I wanted to see if green meant okay or not. ""}",contaminated,TRUE,FALSE,0.8,0.30000000000000004
6a09d8dadb2b62dac2a3dc4e,uncont,0.8,Going to be contaminated,exp1_trial1,singleton,"{""strategy"":""I don't know, I found this tricky and guessed""}",going to be contaminated,TRUE,FALSE,0.8,0.30000000000000004
