prolific_pid,goal_condition,base_rate,raw_response,trial_id,decision_structure,strategy,response_lowercase,chose_contaminated,chose_uncontaminated
69b1e5c5145bfd9c6480d144,cont,0.8,the one you remember,exp1_trial1,singleton,"{""strategy"":""Theres no way to know by appearance so the only thing you can go off of is memory""}",the one you remember,FALSE,FALSE
65fb580ab7fbb2d518ee8eaa,uncont,0.5,green or red,exp1_trial1,singleton,"{""strategy"":""Based on the colors I saw in the experiment.""}",green or red,FALSE,FALSE
67a4fd5439e7b8f92c7b6ec7,uncont,0.8,yes,exp1_trial1,singleton,"{""strategy"":""one question that would give the most useful information for my goal""}",yes,FALSE,FALSE
5bef64b373e44f0001092811,uncont,0.2,3,exp1_trial1,singleton,"{""strategy"":""Only a few were contaminated so I stated 3 because it is less than half.""}",3,FALSE,FALSE
69fd6763ae7c72789d286a75,uncont,0.8,5,exp1_trial1,singleton,"{""strategy"":""I chose the vial tha looke differently on the screen. Because it was different.""}",5,FALSE,FALSE
6a063bf528833b226bcdeee2,uncont,0.5,Blue,exp1_trial1,singleton,"{""strategy"":""There was only one blue vial""}",blue,FALSE,FALSE
55ad5706fdf99b649ca5a47c,uncont,0.2,Green,exp1_trial1,singleton,"{""strategy"":""The colour of the vial is red if contaminated ""}",green,FALSE,FALSE
69fc5f437a0bc01dafe50d5c,cont,0.5,in the green or the red zone,exp1_trial1,singleton,"{""strategy"":""I asked this question because it will instantly eliminate half of my options. Then I can examine the remaining five, instead of the whole batch. This creates time efficiency with my investigations. ""}",in the green or the red zone,FALSE,FALSE
6a02ff38ba724d6d369e361e,cont,0.8,one that you know about,exp1_trial1,singleton,"{""strategy"":""I decided to ask them what they knew for certain""}",one that you know about,FALSE,FALSE
69f534af41557cc2ac117753,uncont,0.2,red,exp1_trial1,singleton,"{""strategy"":""If its red we know its contaminated.""}",red,FALSE,FALSE
69f4ec6384f2e67c65b9a7a9,cont,0.5,ble,exp1_trial1,singleton,"{""strategy"":""reading ""}",ble,FALSE,FALSE
69aec0c1b1e23fadadf6b62f,cont,0.8,Red,exp1_trial1,singleton,"{""strategy"":""I went off based on colour ""}",red,FALSE,FALSE
6a078c84e91845990ebc8cb2,cont,0.2,one you are uncertain about,exp1_trial1,singleton,"{""strategy"":""If they know some are safe and some aren't, it is best to focus on the ones they are unsure about as we know the status of the rest.""}",one you are uncertain about,FALSE,FALSE
5affe1f4331e8100018f1d45,cont,0.8,one that you saw,exp1_trial1,singleton,"{""strategy"":""I based my question on the fact that my colleague saw some of the vials, but not all, so it would be prudent to identify the vials that they had witnessed.""}",one that you saw,FALSE,FALSE
5f5452df72345118f58d187b,cont,0.2,1,exp1_trial1,singleton,"{""strategy"":""I just asked about one to start""}",1,FALSE,FALSE
60f20aac9a3cd813c94175b4,cont,0.2,1-5,exp1_trial1,singleton,"{""strategy"":""Asking about vials 1-5 splits the possibilities in half in order to quickly identify the contaminated ones ""}",1-5,FALSE,FALSE
5a647fc7b9e3b50001a6fe7b,cont,0.8,not contaminted,exp1_trial1,singleton,"{""strategy"":""I thought I'd say not contaminated instead of contaminated, thinking I would have more success.""}",not contaminted,FALSE,FALSE
6a0c86c4fe89dcf8ce1722ec,uncont,0.8,one of the vials you saw,exp1_trial1,singleton,"{""strategy"":""at the beginning it said my colleague was sure of the vials they saw  ""}",one of the vials you saw,FALSE,FALSE
69fc94b33906a2d149b2b8a0,cont,0.2,2,exp1_trial1,singleton,"{""strategy"":""it was different from the rest""}",2,FALSE,FALSE
6a00d1f1568116eb63bd4a6e,cont,0.5,one of the ones you saw,exp1_trial1,singleton,"{""strategy"":""The colleague saw that some of the vials were contaminated and some of the vials were not. Asking them if one of the vials is one of the ones they saw was contaminated should tell us whether it is contaminated or not.""}",one of the ones you saw,FALSE,FALSE
5def0431a506d95b31007a88,cont,0.2,one that you know about,exp1_trial1,singleton,"{""strategy"":""the colleague knew for sure about some of the vials so they would know if the vial is contaminated or not.""}",one that you know about,FALSE,FALSE
69ea2034889d272729b4408d,cont,0.2,going to harm me if I use it,exp1_trial1,singleton,"{""strategy"":""I know that the end goal is to identify the contaminant in the vials, so my first question would be if it is a substance that is harmful. That should narrow down the options. ""}",going to harm me if i use it,FALSE,FALSE
69bea715d0eb43e59fb0df26,cont,0.5,3,exp1_trial1,singleton,"{""strategy"":""focused on choosing a question that would give a clear yes/no answer and provide the most direct information about whether a vial is contaminated. Since the goal is to identify the contaminant source efficiently, I prioritized a question that would immediately help distinguish contaminated vials from uncontaminated ones.""}",3,FALSE,FALSE
69ece17711faeaf404d6f16e,cont,0.8,an even number,exp1_trial1,singleton,"{""strategy"":""thinking of something different to ask""}",an even number,FALSE,FALSE
